scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
2026-07-03T20:41:14Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T02:48:57Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T02:57:29Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T03:59:22Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T06:38:09Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T09:57:00Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T11:19:56Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T12:53:05Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T14:55:58Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T16:48:20Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T18:50:31Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T20:40:51Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-04T22:43:34Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
2026-07-05T01:43:15Z,"23286 Springhill Dr, Denham Springs, LA 70726",Truck + Trailer,2,,2,0,0.0,10+,15.00,70.00,230.00,3,4.67
