scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
2026-07-04T02:57:29Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T03:59:22Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T06:38:09Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T09:57:00Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T11:19:56Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T12:53:05Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T14:55:58Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T16:48:20Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T18:50:31Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T20:40:51Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T22:43:34Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T01:43:15Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T05:51:11Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T08:35:33Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T11:21:03Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T13:00:50Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T15:04:15Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T16:51:12Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T18:55:03Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T20:09:18Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T20:14:59Z,"4747 River Rd, Port Allen, LA 70767",Bobtail / Box Truck,15,,15,0,0.0,,20.00,80.00,200.00,0,
