scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
2026-07-04T02:57:29Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T03:59:22Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T06:38:09Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T09:57:00Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T11:19:56Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T12:53:05Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T14:55:58Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T16:48:20Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T18:50:31Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T20:40:51Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-04T22:43:34Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T01:43:15Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
2026-07-05T05:51:11Z,"1956 Court St, Port Allen, LA 70767",Bobtail / Box Truck,50,,50,0,0.0,,20.00,80.00,200.00,0,
