scraped_at_utc,url,metric,previous,current,change,note
2026-07-03T20:41:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,2,-1,1 spot(s) newly occupied (booked) since last run
2026-07-03T20:41:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,booking_amount_label,,100+,,listing's total-bookings badge changed
2026-07-03T20:41:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/17912-sotile-dr-70809,booking_amount_label,,10+,,listing's total-bookings badge changed
2026-07-03T20:41:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,booking_amount_label,,10+,,listing's total-bookings badge changed
2026-07-03T20:41:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,booking_amount_label,,100+,,listing's total-bookings badge changed
2026-07-03T20:41:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6405-scenic-hwy-70807,booking_amount_label,,10+,,listing's total-bookings badge changed
2026-07-03T20:41:14Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,booking_amount_label,,100+,,listing's total-bookings badge changed
2026-07-04T02:48:57Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/6903-cezanne-ave-70806,total_available,11,12,1,1 spot(s) freed (booking ended) since last run
2026-07-04T02:48:57Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/7802-howell-blvd-70807,total_available,6,5,-1,1 spot(s) newly occupied (booked) since last run
2026-07-04T06:38:09Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,4,5,1,1 spot(s) freed (booking ended) since last run
2026-07-04T20:40:51Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,5,6,1,1 spot(s) freed (booking ended) since last run
2026-07-05T05:51:11Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,2,3,1,1 spot(s) freed (booking ended) since last run
2026-07-05T05:51:11Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,6,7,1,1 spot(s) freed (booking ended) since last run
2026-07-05T15:04:15Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,2,-1,1 spot(s) newly occupied (booked) since last run
2026-07-05T18:55:03Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,6,-1,1 spot(s) newly occupied (booked) since last run
2026-07-05T20:09:18Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,4,7,3,3 spot(s) freed (booking ended) since last run
2026-07-06T01:48:31Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,2,3,1,1 spot(s) freed (booking ended) since last run
2026-07-06T01:48:31Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,6,-1,1 spot(s) newly occupied (booked) since last run
2026-07-06T06:14:24Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,6,7,1,1 spot(s) freed (booking ended) since last run
2026-07-07T01:11:03Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,3,4,1,1 spot(s) freed (booking ended) since last run
2026-07-07T05:10:31Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,4,5,1,1 spot(s) freed (booking ended) since last run
2026-07-07T05:10:31Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/2392-e-smiley-ave-70806,total_available,7,8,1,1 spot(s) freed (booking ended) since last run
2026-07-07T12:12:07Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,2,1,-1,1 spot(s) newly occupied (booked) since last run
2026-07-08T06:41:02Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/14015-florida-blvd-70819,total_available,5,6,1,1 spot(s) freed (booking ended) since last run
2026-07-08T14:44:01Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,1,2,1,1 spot(s) freed (booking ended) since last run
2026-07-08T14:44:01Z,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/8350-florida-boulevard-70726,total_available,5,4,-1,1 spot(s) newly occupied (booked) since last run
2026-07-08T18:50:34Z,https://truckparkingclub.com/truck-parking/louisiana/baton-rouge/10455-reiger-rd-70809,total_available,2,1,-1,1 spot(s) newly occupied (booked) since last run
